Дата,Время,НЖТИ,Название,Число1,Число2
26.04.24,15:36,10071,БЫКОЧЕРТ,5912,3547
26.04.23,17:10,38808,ВОЗОСТЕМ,6465,1077
26.04.23,16:53,08442,АПРОБАЦИЯ,0508,4156
26.04.23,15:51,19571,ЛАВРОХРУП,2603,6522
26.04.23,15:15,07420,РОССОПИК,1368,0604
26.04.23,15:01,77882,РЕБРИСТЫЙ,3690,7971
26.04.23,14:46,67939,ФЕУНШОГЛЕВ,0226,3006
26.04.23,12:59,54204,ЧЕЧЕНКА,4275,5407
26.04.23,12:51,31935,АЛИМЕНТНЫЙ,4530,3735
26.04.20,11:32,44763,ПРИНУЖДЕНИЕ,4016,2394
26.04.16,19:56,60901,МЯСОРУБ,7332,4551
26.04.16,18:57,42665,КРАТОВГИБ,4322,9218
26.04.16,12:28,33205,КРИПТОНИТ,5221,5209
26.04.16,10:46,02539,АССОЛЕВ,3816,3966
26.04.14,14:48,24099,БОРТОГРАФ,5211,9366
26.04.14,12:46,76418,НАЙМОТАТЬ,7491,2203
26.04.13,17:30,72684,ЕРШИСТЫЙ,1423,2212
26.04.13,16:02,72871,КИТАЙСКИЙ,8875,1328
26.04.13,14:12,61140,АССАМБЛЕЯ,1167,7293
26.04.13,12:52,67483,ЛЮСОШТОФ,2404,2178
26.04.09,15:22,32366,ПОДЛИВОЧНЫЙ,4612,0694
26.04.06,17:29,14437,ВОЗРАСТАНИЕ,6241,4820
26.04.06,15:54,66020,ПОПОЛНЕНИЕ,0200,7694
26.04.06,11:40,05546,ГОТ,3287,2445
26.04.05,17:08,62019,ФЛИКОБЫТ,1349,4148
26.04.05,15:40,88813,ДЕЛИКАТНЫЙ,4443,7430
26.04.05,14:12,85869,ТЕЛЕЖКА,0646,1485
26.04.03,15:19,83386,ВИХОРОК,8987,9441
26.04.01,14:39,07149,ЗЕФИРНЫЙ,4541,3922
26.04.01,12:57,86945,ТЕГОБАСК,6605,3566
26.03.30,15:40,41869,ГУАНОСЛЯБ,1485,1546
26.03.30,14:15,06567,СРЕЗОВАК,4281,5666
26.03.30,13:01,02027,ШЕЙХ,9901,3553
26.03.26,13:10,61130,ШМОН,6865,1342
26.03.25,15:51,20011,АРОДУСТ,1896,7981
26.03.23,17:14,78923,СТАРОВЕРНЫЙ,4137,8296
26.03.23,15:32,31018,ТМИНОХОРЬ,5706,7459
26.03.23,11:07,68678,ЗАДАТОЧНЫЙ,3290,8709
26.03.20,16:13,77674,ТЯГОДЖАЗ,0223,8893
26.03.19,18:34,95629,КЛЕШОТИРС,6468,0733
26.03.19,14:46,79579,НАДЕВАНИЕ,9580,5744
26.03.19,13:17,10328,ПЕРОВА,9784,3852
26.03.19,11:16,04792,СТРАХ,9020,6368
26.03.18,15:15,42144,ВОЛОШИП,5101,8306
26.03.12,19:44,76472,ПЕРЕДЕРЖКА,4301,8808
26.03.12,16:45,11254,АВИАЦИОННЫЙ,3247,3900
26.03.12,16:11,06742,ПРОСТЫНЯ,4072,7353
26.03.12,15:56,49749,КАВКАЗ,0104,4657
26.03.12,15:54,17395,БЛУД,8830,2774
26.03.12,15:52,89062,РИСКОХОЛМ,0044,2923
26.03.12,15:25,79945,ЛАСКА,6919,2490
26.03.12,15:22,28688,ТРУТОШУТ,0100,5125
26.03.12,15:12,38022,ЗАЛПОФИРН,0010,6369
26.03.12,15:05,56371,ПЛЕКСИГЛАС,2555,7094
26.03.12,14:42,48480,ЗУЕКОКРИЗ,5767,6650
26.03.12,09:22,98102,РОСЧЕРК,5659,5925
